DAT	W	Wroot	OMN	OMS	Tsoil	Eh	Com	Cr	P	FEh	Ebl	Ep	E
194.0	177.9326987460687	19.14796669773085	150.44871330234295	129.1146961330139	10.176	-204.51557010109212	0.32850047470877736	1.169747733593811	0.12447269496762499	1.0	0.010557071076095773	0.06478464920766953	0.0753417202837653
195.0	189.34648785203714	20.28726758581476	150.15919340803154	129.08708888595646	9.872	-206.60680840087042	0.3171271413688272	1.2642823425913903	0.12302317189281038	1.0	0.009719422357237755	0.06377508677768234	0.0734945091349201
196.0	201.2878721531165	21.47410631780332	149.85538583893918	129.05806958407382	10.328	-151.56742371622948	0.332826870974982	1.3647230167677518	0.13230716155932518	1.0	0.010069940120655796	0.0682972671725106	0.07836720729316639
197.0	213.75531334807744	22.70799221945228	149.4582159230093	129.02006406713284	11.468	-103.16248646147517	0.43517543287085586	1.4711896254400234	0.09960228209714674	0.5881194805938563	0.007490316928250711	0.05118348318587947	0.05867380011413018
198.0	226.74378655648272	23.98811008158731	148.79269717561738	128.9562295990501	15.268	-60.59228034340895	0.7293532154746863	1.5837686746146016	0.10225627210031131	0.3630235795309586	0.008133536855548814	0.052296288810503924	0.06042982566605274
199.0	240.2445298749552	25.31330143671741	147.93230141379289	128.8733750298601	17.016000000000002	-23.153486870814433	0.943250331014455	1.7025088969124786	0.08670478021290692	0.23749853701479878	0.006795411294713546	0.044118346938081095	0.05091375823279464
200.0	254.2448319925772	26.682049660989435	147.60080454900702	128.8412874395168	7.972	9.772434436593542	0.363584455129155	1.8274170490650912	0.023228061671508437	0.1635307460729493	0.001265044077016933	0.011755864288452307	0.01302090836546924
201.0	268.7278674392798	28.092469689923803	147.38037637378386	128.8199082652633	4.0200000000000005	38.72946518960656	0.24180734947666288	1.958454053573965	0.011277116153604933	0.11778033716341976	0.00039095008214260044	0.005675061040750101	0.006066011122892701
202.0	283.67258872783265	29.542303089326992	147.1622745512853	128.7987265995641	3.7920000000000003	64.19601545565138	0.2392834881977755	2.0955316280086707	0.008506757689626184	0.08825235995463389	0.0002686663223223152	0.004255283108711601	0.004523949431033916
203.0	299.0536838989378	31.02891914718532	146.91574893541355	128.77475292417355	4.856	86.59282775262716	0.2704992912622965	2.238509546841825	0.007613556819229229	0.0684682338153518	0.00027141583401338684	0.0037844318038290884	0.0040558476378424755
204.0	314.841606762944	32.549322466364856	146.62945833578297	128.74687072978733	6.224	106.28992829532548	0.314172794016807	2.387193675725726	0.007236450934496734	0.05476964360397815	0.00028454827604278105	0.0035730591037262767	0.0038576073797690577
